                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6278,                 4.7955,                 4.0106,                0.00011,                0.04826,                 0.0001,                  3e-05,                  3.435,                  4.855,                 3.6943,                 0.0937,                 0.0007,                 0.0007
                      1,                 3.4784,                  4.463,                 3.6648,                0.00018,                 0.0888,                0.00432,                 0.0008,                 3.4649,                  4.636,                 3.5095,               0.086454,              0.0014536,              0.0014536
                      2,                 3.5341,                 4.2916,                 3.5347,                 0.0003,                0.11084,                0.00331,                0.00072,                 3.4985,                 5.1597,                  3.473,               0.079158,              0.0021577,              0.0021577
                      3,                 3.4309,                 4.2984,                 3.4774,                0.28626,                0.05985,                0.00361,                0.00097,                 3.5127,                 6.8968,                 3.4864,               0.071812,              0.0028123,              0.0028123
                      4,                   3.46,                 4.2975,                 3.3827,                0.42924,                0.04054,                0.00424,                0.00116,                 3.6164,                  59.62,                 3.6127,               0.064417,              0.0034174,              0.0034174
                      5,                 3.4691,                  4.335,                 3.3983,                0.00055,                 0.1147,                0.00093,                0.00024,                 3.5294,                 348.05,                 3.7636,               0.056973,               0.003973,               0.003973
                      6,                 3.3361,                 4.3163,                 3.3787,                0.00032,                0.08977,                0.00026,                  7e-05,                 4.0533,                 970.22,                 5.6517,               0.049479,              0.0044791,              0.0044791
                      7,                 3.2835,                 4.3011,                 3.3304,                0.00051,                 0.1205,                0.00037,                 0.0001,                 3.9489,                 219.15,                 4.5878,               0.041936,              0.0049357,              0.0049357
                      8,                 3.3704,                 4.2875,                 3.3585,                0.42909,                0.02349,                0.00032,                  8e-05,                 4.1264,                 47.421,                 4.5798,               0.034343,              0.0053428,              0.0053428
                      9,                 3.2547,                 4.3699,                  3.341,                0.42905,                0.00981,                0.00012,                  4e-05,                 4.4578,                 18.979,                 9.3384,                 0.0267,              0.0057003,              0.0057003
                     10,                 3.2244,                 4.3308,                 3.3369,                0.42905,                0.00981,                0.00012,                  4e-05,                 4.0592,                 8.0983,                 6.9886,               0.019008,              0.0060084,              0.0060084
                     11,                 3.0903,                 4.2643,                 3.2973,                  3e-05,                0.00579,                  2e-05,                      0,                 3.9383,                 7.5356,                 8.0762,               0.011267,               0.006267,               0.006267
                     12,                 3.0558,                 4.2882,                 3.2539,                  2e-05,                0.00193,                  7e-05,                  2e-05,                 4.3838,                 7.2996,                 25.051,              0.0062875,              0.0062875,              0.0062875
                     13,                 3.1567,                 4.2929,                 3.2815,                0.57155,                0.00193,                 0.0001,                  3e-05,                 4.4317,                 9.0337,                 42.376,              0.0062875,              0.0062875,              0.0062875
                     14,                 3.1309,                 4.2845,                 3.2806,                0.28624,                0.03475,                0.00084,                0.00022,                 3.8147,                 61.485,                 6.1361,              0.0059781,              0.0059781,              0.0059781
                     15,                 3.1914,                 4.3374,                 3.2161,                0.00063,                0.13031,                0.00062,                0.00021,                 3.5365,                 19.957,                 4.4091,              0.0056688,              0.0056688,              0.0056688
                     16,                  3.064,                 4.3247,                 3.1524,                0.00083,                0.10773,                0.00061,                0.00016,                 3.6381,                 5.4589,                 4.1259,              0.0053594,              0.0053594,              0.0053594
                     17,                  3.103,                 4.2374,                 3.2275,                0.00057,                0.10008,                0.00095,                0.00027,                 3.5173,                  5.603,                 4.0104,                0.00505,                0.00505,                0.00505
                     18,                 3.1095,                 4.3229,                 3.1973,                0.00066,                0.15743,                0.00159,                0.00048,                 3.3127,                 5.0921,                 3.3721,              0.0047406,              0.0047406,              0.0047406
                     19,                 3.1248,                 4.2901,                 3.1223,                 0.1439,                0.05598,                0.00147,                0.00035,                 3.2385,                 5.3178,                 3.3756,              0.0044313,              0.0044313,              0.0044313
                     20,                 3.0488,                 4.2847,                 3.1701,                0.14415,                0.07336,                0.00441,                0.00101,                 3.2271,                 5.1559,                 3.2637,              0.0041219,              0.0041219,              0.0041219
                     21,                 2.9009,                 4.2417,                 3.1042,                0.00129,                0.15147,                0.00405,                0.00135,                 3.2288,                 4.8337,                 3.2402,              0.0038125,              0.0038125,              0.0038125
                     22,                 2.9226,                 4.2812,                 3.0622,                0.00085,                0.18398,                0.00365,                0.00088,                 3.0917,                 4.9546,                 3.1886,              0.0035031,              0.0035031,              0.0035031
                     23,                 2.9146,                 4.1828,                 3.0667,                0.00083,                0.18398,                0.00506,                0.00111,                 3.0915,                 5.0043,                 3.1841,              0.0031938,              0.0031938,              0.0031938
                     24,                 2.9396,                 4.2948,                 3.1246,                0.00082,                0.17448,                0.00186,                0.00046,                 3.1034,                 4.8419,                 3.1534,              0.0028844,              0.0028844,              0.0028844
                     25,                  2.875,                  4.247,                 3.0261,                0.00091,                0.18035,                0.00145,                0.00034,                 3.0887,                 4.8071,                 3.0934,               0.002575,               0.002575,               0.002575
                     26,                 2.9033,                 4.3281,                 3.0441,                0.00093,                0.17231,                0.00136,                0.00032,                 3.1029,                 4.7912,                 3.0963,              0.0022656,              0.0022656,              0.0022656
                     27,                 2.8082,                  4.293,                 2.9999,                0.00094,                0.16041,                0.00155,                0.00037,                 3.0831,                 4.7501,                 3.0913,              0.0019563,              0.0019563,              0.0019563
                     28,                 2.7281,                 4.2107,                 2.9736,                0.00097,                0.16418,                0.00229,                0.00047,                 3.0716,                 4.7367,                 3.0808,              0.0016469,              0.0016469,              0.0016469
