                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7244,                 4.1788,                 4.2879,                0.00197,                0.24275,                0.00212,                0.00067,                 3.6332,                 4.1147,                 4.1453,                 0.0937,                 0.0007,                 0.0007
                      1,                 3.7252,                 4.0541,                 4.2405,                0.00202,                0.24275,                0.00215,                0.00073,                 3.6128,                 4.0606,                 4.1231,               0.086454,              0.0014536,              0.0014536
                      2,                 3.7042,                 3.9485,                 4.2046,                0.00198,                0.26449,                0.00243,                0.00076,                 3.5988,                 4.0415,                 4.1074,               0.079158,              0.0021577,              0.0021577
                      3,                 3.6785,                 3.9239,                 4.1707,                0.00192,                0.25725,                 0.0025,                0.00078,                 3.5851,                 4.0279,                 4.0917,               0.071812,              0.0028123,              0.0028123
                      4,                 3.5754,                 3.9652,                 4.1679,                0.00195,                0.26087,                0.00243,                0.00081,                 3.5726,                 4.0147,                 4.0768,               0.064417,              0.0034174,              0.0034174
                      5,                 3.6108,                 3.8256,                 4.1337,                 0.0019,                0.25362,                0.00263,                0.00082,                 3.5617,                 3.9992,                 4.0637,               0.056973,               0.003973,               0.003973
                      6,                 3.7244,                 3.8607,                 4.1287,                0.00184,                0.24638,                 0.0025,                0.00076,                 3.5542,                 3.9878,                 4.0541,               0.049479,              0.0044791,              0.0044791
                      7,                 3.6432,                 3.8525,                 4.1269,                0.00187,                   0.25,                0.00243,                0.00077,                 3.5466,                 3.9781,                 4.0447,               0.041936,              0.0049357,              0.0049357
                      8,                 3.5841,                 3.7878,                 4.0749,                 0.0019,                0.25362,                0.00236,                0.00076,                 3.5401,                  3.971,                 4.0358,               0.034343,              0.0053428,              0.0053428
                      9,                 3.6225,                  3.789,                 4.0752,                 0.0019,                0.25362,                0.00233,                0.00078,                 3.5358,                 3.9659,                 4.0299,                 0.0267,              0.0057003,              0.0057003
                     10,                 3.5877,                 3.7355,                 4.0389,                0.00201,                0.25725,                0.00224,                0.00079,                 3.5266,                 3.9521,                 4.0202,               0.019008,              0.0060084,              0.0060084
                     11,                 3.6402,                  3.677,                 4.0367,                0.00218,                0.26812,                0.00232,                 0.0008,                 3.5137,                 3.9342,                 4.0111,               0.011267,               0.006267,               0.006267
                     12,                  3.534,                 3.7749,                 4.0251,                0.00227,                0.27536,                0.00264,                0.00089,                   3.49,                 3.9148,                 4.0023,              0.0062875,              0.0062875,              0.0062875
                     13,                 3.3885,                 3.6103,                  4.013,                0.09109,                0.01449,                0.01076,                 0.0024,                 3.3831,                 3.8053,                 3.9758,              0.0062875,              0.0062875,              0.0062875
                     14,                 3.2406,                 3.4049,                 3.9484,                0.27539,                0.01812,                0.03405,                0.00859,                 3.2875,                  3.711,                 3.9456,              0.0059781,              0.0059781,              0.0059781
                     15,                 3.1614,                 3.3923,                 3.8984,                0.10582,                0.07975,                 0.0384,                 0.0098,                 3.1838,                 3.6307,                 3.8998,              0.0056688,              0.0056688,              0.0056688
                     16,                 3.3266,                 3.3432,                 3.8586,                0.10664,                0.10145,                0.02692,                0.00678,                 3.1347,                 3.7603,                 3.8797,              0.0053594,              0.0053594,              0.0053594
                     17,                 3.2169,                 3.5021,                 3.8065,                0.16629,                0.09058,                0.05454,                0.01457,                 3.0891,                 3.5356,                 3.8574,                0.00505,                0.00505,                0.00505
                     18,                 3.1447,                 3.2225,                 3.7404,                0.12171,                0.12319,                0.05313,                0.01504,                 3.0488,                 3.8975,                 4.0225,              0.0047406,              0.0047406,              0.0047406
                     19,                 3.2337,                 3.2426,                 3.7015,                0.11807,                0.13768,                0.04789,                 0.0133,                 2.9569,                  4.832,                  3.757,              0.0044313,              0.0044313,              0.0044313
                     20,                 3.0895,                 3.1715,                 3.6809,                0.17347,                0.11594,                0.04258,                0.01362,                 2.9508,                 5.7161,                 3.6846,              0.0041219,              0.0041219,              0.0041219
                     21,                 3.1644,                 3.2163,                 3.6248,                0.14594,                0.09058,                0.04862,                0.01312,                 2.9482,                 8.2717,                 3.6521,              0.0038125,              0.0038125,              0.0038125
                     22,                 3.1512,                 3.1605,                 3.5827,                0.11973,                0.16304,                0.05107,                 0.0141,                 2.9571,                 4.3069,                 3.6422,              0.0035031,              0.0035031,              0.0035031
                     23,                 3.1736,                 3.1638,                 3.5752,                0.19141,                0.12681,                0.06939,                0.01791,                 2.9876,                 4.6715,                   3.73,              0.0031938,              0.0031938,              0.0031938
                     24,                 3.0234,                 3.1801,                 3.4991,                 0.2785,                 0.1413,                0.09473,                0.02662,                 2.9105,                 3.8213,                 3.6217,              0.0028844,              0.0028844,              0.0028844
                     25,                 3.0745,                 3.0354,                 3.4897,                0.26676,                0.14855,                0.12008,                0.03568,                 2.8069,                 4.3182,                 3.4744,               0.002575,               0.002575,               0.002575
                     26,                  3.024,                 2.9466,                 3.3803,                0.32398,                0.11232,                0.09384,                0.02747,                 2.8195,                 4.2073,                 3.4537,              0.0022656,              0.0022656,              0.0022656
